name,filelink,tags,players,thumbnail
라멘!라멘!,ramenramen.md,"""카드게임"",""숫자"",""파티게임"",""핸드 관리""","1,2,3,4",라멘라멘.jpg
더미!라멘!,dummyramen.md,"""카드게임"",""숫자"",""파티게임"",""핸드 관리"",""더미""","1,2,3,4,5",보드프라 로고.png
